ReporterName	ReporterDatabaseEntry
1007_PM_s_at	U48705
1053_PM_at	M87338
117_PM_at	X51757
121_PM_at	X69699
1255_PM_g_at	L36861
1294_PM_at	L13852
1316_PM_at	X55005
1320_PM_at	X79510
1405_PM_i_at	M21121
1431_PM_at	J02843
1438_PM_at	X75208
1487_PM_at	L38487
1494_PM_f_at	M33318
1552256_PM_a_at	NM_005505
1552257_PM_a_at	NM_015140
1552258_PM_at	NM_052871
1552261_PM_at	NM_080735
1552263_PM_at	NM_138957
1552264_PM_a_at	NM_138957
1552266_PM_at	NM_145004
1552269_PM_at	NM_138796
1552271_PM_at	NM_153359
1552272_PM_a_at	NM_153359
1552274_PM_at	BC014479
1552275_PM_s_at	BG573647
1552276_PM_a_at	NM_080432
1552277_PM_a_at	NM_080655
1552278_PM_a_at	NM_080669
1552279_PM_a_at	AK074161
1552280_PM_at	NM_138379
1552281_PM_at	NM_173596
1552283_PM_s_at	NM_024786
1552286_PM_at	NM_080653
1552287_PM_s_at	NM_001132
1552288_PM_at	BC034926
1552289_PM_a_at	BC034926
1552291_PM_at	NM_017861
1552293_PM_at	NM_152774
1552295_PM_a_at	NM_152264
1552296_PM_at	NM_153274
1552299_PM_at	NM_145025
1552301_PM_a_at	NM_032854
1552302_PM_at	NM_145041
1552303_PM_a_at	NM_145041
1552304_PM_at	NM_032834
1552306_PM_at	BC033730
1552307_PM_a_at	NM_153211
1552309_PM_a_at	NM_144573
1552310_PM_at	NM_144597
1552311_PM_a_at	NM_032753
1552312_PM_a_at	NM_005927
1552314_PM_a_at	NM_172098
1552315_PM_at	NM_130759
1552316_PM_a_at	NM_130759
1552318_PM_at	AK091818
1552319_PM_a_at	NM_144506
1552320_PM_a_at	NM_033124
1552321_PM_a_at	NM_033124
1552322_PM_at	NM_138819
1552323_PM_s_at	NM_138819
1552325_PM_at	NM_145020
1552326_PM_a_at	NM_145020
1552327_PM_at	NM_152583
1552329_PM_at	BC029352
1552330_PM_at	NM_145039
1552332_PM_at	NM_138632
1552334_PM_at	BG571343
1552335_PM_at	NM_053054
1552337_PM_s_at	NM_014621
1552338_PM_at	AY177407
1552340_PM_at	NM_152860
1552343_PM_s_at	NM_002604
1552344_PM_s_at	NM_054026
1552347_PM_at	NM_145311
1552348_PM_at	NM_152891
1552349_PM_a_at	NM_152891
1552354_PM_at	NM_152769
1552355_PM_s_at	NM_152769
1552359_PM_at	AL833526
1552360_PM_a_at	NM_052887
1552362_PM_a_at	NM_052971
1552364_PM_s_at	BC001526
1552365_PM_at	NM_033128
1552367_PM_a_at	AF276507
1552368_PM_at	NM_080618
1552370_PM_at	NM_173487
1552372_PM_at	BC016358
1552373_PM_s_at	BC016358
1552375_PM_at	NM_032433
1552377_PM_s_at	NM_145301
1552378_PM_s_at	NM_172037
1552379_PM_at	BG677577
1552381_PM_at	NM_080743
1552383_PM_at	NM_153606
1552384_PM_a_at	NM_153606
1552386_PM_at	NM_152687
1552388_PM_at	NM_152514
1552389_PM_at	NM_173549
1552390_PM_a_at	NM_173549
1552391_PM_at	NM_152610
1552393_PM_at	NM_152512
1552394_PM_a_at	NM_152512
1552395_PM_at	NM_052841
1552396_PM_at	NM_080827
1552398_PM_a_at	NM_138337
1552399_PM_a_at	NM_145696
1552400_PM_a_at	NM_152335
1552401_PM_a_at	NM_138332
1552402_PM_at	NM_138705
